o_name,o_addr,o_lat,o_lon,d_name,d_addr,d_lat,d_lon,visited
정동사거리,중구,37.56805038,126.9692307,정동길입구,중구,37.56505203,126.9734039,67
정동사거리,중구,37.56805038,126.9692307,시청역(2호선) 9번출구 뒤,중구,37.56322861,126.9748383,36
정동사거리,중구,37.56805038,126.9692307,경희궁 자이 3단지,종로구,37.56748962,126.9659195,16
정동사거리,중구,37.56805038,126.9692307,종각역 5번출구,종로구,37.56983566,126.9826584,16
정동사거리,중구,37.56805038,126.9692307,부산은행,중구,37.5664711,126.9792557,25
정동사거리,중구,37.56805038,126.9692307,광화문역 6번출구 옆,종로구,37.56988907,126.9764557,24
정동사거리,중구,37.56805038,126.9692307,KG타워 앞,중구,37.56339645,126.9689407,13
정동사거리,중구,37.56805038,126.9692307,광화문 S타워 앞,종로구,37.56996918,126.973938,49
정동사거리,중구,37.56805038,126.9692307,독립문역 사거리,종로구,37.57202911,126.9607849,17
정동사거리,중구,37.56805038,126.9692307,서울도시건축전시관,중구,37.5670166,126.9768372,40
정동사거리,중구,37.56805038,126.9692307,을지로지하쇼핑센터,중구,37.56599045,126.9842758,13
정동사거리,중구,37.56805038,126.9692307,광화문역 5번출구,종로구,37.56989288,126.9775696,11
정동사거리,중구,37.56805038,126.9692307,경희궁 자이 2단지,종로구,37.56885529,126.9645615,25
정동사거리,중구,37.56805038,126.9692307,을지로입구역 8번출구,중구,37.56590271,126.981781,11
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,파크팰리스,종로구,37.57455063,126.9705505,31
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,서울지방경찰청,종로구,37.57436371,126.9723663,25
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,광화문역 1번출구 앞,종로구,37.57176971,126.9746628,41
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,광화문 S타워 앞,종로구,37.56996918,126.973938,61
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,세종로공원,종로구,37.57405853,126.9757996,17
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,서울역사박물관 앞,종로구,37.56999969,126.9710999,39
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,서울도시건축전시관,중구,37.5670166,126.9768372,23
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,종각역 1번출구 앞,종로구,37.57039642,126.9817886,20
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,광화문 시민열린마당,종로구,37.57549286,126.9785004,13
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,광화문역 5번출구,종로구,37.56989288,126.9775696,22
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,청계광장 옆,중구,37.56887817,126.9774704,13
경복궁역 7번출구 앞,종로구,37.57579422,126.9714508,청운초교 앞 삼거리,종로구,37.58507919,126.9706192,12
