o_idx,o_name,o_lat,o_lon,d_idx,d_name,d_lat,d_lon
1,국립현대미술관,37.578628,126.980088,2,서울공예박물관,37.5766481740232,126.983533363501
2,서울공예박물관,37.5766481740232,126.983533363501,3,PKM갤러리,37.5840916531266,126.980082350686
3,PKM갤러리,37.5840916531266,126.980082350686,4,국립고궁박물관,37.5765916191985,126.974974825074
4,국립고궁박물관,37.5765916191985,126.974974825074,5,서울역사박물관,37.5704968494713,126.97107522045
5,서울역사박물관,37.5704968494713,126.97107522045,6,대한민국역사박물관,37.5737136067193,126.978339442463
6,대한민국역사박물관,37.5737136067193,126.978339442463,7,서울특별시교육청어린이도서관,37.5762858214854,126.968231878405
7,서울특별시교육청어린이도서관,37.5762858214854,126.968231878405,8,갤러리라메르,37.5725819833564,126.984868085947
8,갤러리라메르,37.5725819833564,126.984868085947,9,종로문화체육센터,37.5742098160357,126.964661018954
9,종로문화체육센터,37.5742098160357,126.964661018954,10,경인미술관,37.5745908579478,126.985723489033
10,경인미술관,37.5745908579478,126.985723489033,11,그라운드시소/서촌,37.577840393396,126.972916073118
11,그라운드시소/서촌,37.577840393396,126.972916073118,12,갤러리현대,37.5773056844787,126.979823330741
12,갤러리현대,37.5773056844787,126.979823330741,13,서울특별시교육청종로도서관,37.5764496746814,126.966466827575
13,서울특별시교육청종로도서관,37.5764496746814,126.966466827575,14,경찰박물관,37.5720572964048,126.962196007118
14,경찰박물관,37.5720572964048,126.962196007118,15,국립현대미술관/서울관,37.5786280284849,126.980087994867
15,국립현대미술관/서울관,37.5786280284849,126.980087994867,16,국립현대미술관서울관,37.5786280284849,126.980087994867
