순위,관광지명,주소,분류
1,북악스카이웨이,서울 종로구,기타관광지
2,팔각정북악스카이,서울 종로구 북악산로 267-0,기타관광지
3,북악팔각정,서울 종로구 북악산로 267-0,기타관광지
4,경복궁,서울 종로구 사직로 161-0,역사관광지
5,국립현대미술관/서울관,서울 종로구 삼청로 30-0,문화시설
6,교보문고/광화문점,서울 종로구 종로 1-0,쇼핑
7,낙산공원,서울 종로구 낙산길 41-0,자연관광지
8,광장시장,서울 종로구 창경궁로 88-0,쇼핑
9,동대문종합시장,서울 종로구 종로 266-0,쇼핑
10,서울특별시교육청/정독도서관,서울 종로구 북촌로5길 48-0,문화시설
11,북촌한옥마을,서울 종로구,역사관광지
12,광화문,서울 종로구 사직로 161-0,역사관광지
13,창경궁,서울 종로구 창경궁로 185-0,역사관광지
14,조계사,서울 종로구 우정국로 55-0,역사관광지
15,서울역사박물관,서울 종로구 새문안로 55-0,문화시설
16,낙원상가,서울 종로구 삼일대로 428-0,쇼핑
17,영풍문고/종로본점,서울 종로구 청계천로 41-0,쇼핑
18,세운상가,서울 종로구 청계천로 159-0,쇼핑
19,CGV/피카디리1958,서울 종로구 돈화문로5가길 1-0,공연/행사
20,청와대사랑채,서울 종로구 효자로13길 45-0,문화시설
21,안녕인사동,서울 종로구 인사동길 49-0,쇼핑
22,창덕궁,서울 종로구 율곡로 99-0,역사관광지
23,청와대앞길,서울 종로구,휴양관광지
24,청계천,서울 종로구,휴양관광지
25,세운스퀘어,서울 종로구 창경궁로 109-0,쇼핑
26,하나로마트/서서울농협사직점,서울 종로구 사직로8길 4-0,쇼핑
27,국립고궁박물관,서울 종로구 효자로 12-0,문화시설
28,그라운드시소/서촌,서울 종로구 자하문로6길 18-8,문화시설
29,통인시장,서울 종로구 자하문로15길 18-0,쇼핑
30,대학로,서울 종로구,휴양관광지
31,서울미술관,서울 종로구 자하문로 231-0,문화시설
32,가나아트센터,서울 종로구 평창30길 28-0,문화시설
33,국립민속박물관,서울 종로구 삼청로 37-0,문화시설
34,서울공예박물관,서울 종로구 율곡로3길 4-0,문화시설
35,동화면세점/본점,서울 종로구 세종대로 149-0,쇼핑
36,마로니에공원,서울 종로구 대학로 104-0,자연관광지
37,피카디리플러스귀금속도매상가,서울 종로구 돈화문로5가길 1-0,쇼핑
38,서울특별시교육청어린이도서관,서울 종로구 사직로9길 7-0,문화시설
39,대한민국역사박물관,서울 종로구 세종대로 198-0,문화시설
40,쌈지길,서울 종로구 인사동길 44-0,쇼핑
41,동묘시장,서울 종로구 종로58길 12-0,쇼핑
42,국제갤러리,서울 종로구 삼청로 54-0,문화시설
43,동대문문구완구종합시장,서울 종로구 종로54길 19-0,쇼핑
44,CGV/대학로,서울 종로구 대명길 28-0,공연/행사
45,윤동주문학관,서울 종로구 창의문로 119-0,문화시설
46,석파정,서울 종로구,역사관광지
47,국립어린이과학관,서울 종로구 창경궁로 215-0,문화시설
48,창신동문구거리,서울 종로구,쇼핑
49,광장시장한복상가,서울 종로구 창경궁로 88-0,쇼핑
50,두산아트센터,서울 종로구 종로33길 15-0,공연/행사
51,종로귀금속거리,서울 종로구,쇼핑
52,동대문신발상가C동,서울 종로구 청계천로 319-0,쇼핑
53,탑골공원,서울 종로구 종로 99-0,자연관광지
54,와룡공원,서울 종로구,자연관광지
55,운선제한복/종로점,서울 종로구 종로 199-0,쇼핑
56,돈의문박물관마을,서울 종로구,기타관광지
57,서울특별시교육청종로도서관,서울 종로구 사직로9길 15-14,문화시설
58,동대문종합시장악세사리상가,서울 종로구 종로 266-0,쇼핑
59,인왕산,서울 종로구,자연관광지
60,대학로예술극장,서울 종로구 대학로10길 17-0,공연/행사
61,경찰박물관,서울 종로구 송월길 162-0,문화시설
62,환기미술관,서울 종로구 자하문로40길 63-0,문화시설
63,동대문종합시장/A동,서울 종로구 종로 266-0,쇼핑
64,수성동계곡,서울 종로구,자연관광지
65,씨네큐브/광화문점,서울 종로구 새문안로 68-0,공연/행사
66,서울극장/폐점,서울 종로구 돈화문로 13-0,공연/행사
67,단성사귀금속,서울 종로구 돈화문로6가길 6-0,쇼핑
68,사직공원,서울 종로구 사직로 89-0,자연관광지
69,흥인지문,서울 종로구 종로 288-0,역사관광지
70,청운문학도서관,서울 종로구 자하문로36길 40-0,문화시설
71,창신동문구시장,서울 종로구 종로54길 26-4,쇼핑
72,동대문쇼핑타운,서울 종로구 종로 266-0,쇼핑
73,동대문종합시장/D동,서울 종로구 종로 266-0,쇼핑
74,GS더프레시/종로평창점,서울 종로구 평창문화로 75-0,쇼핑
75,QED골프아카데미/광화문직영3호점,서울 종로구 사직로8길 지하 20-1,레포츠(육상/해상/항공)
76,경희궁,서울 종로구 새문안로 55-0,역사관광지
77,종로문화체육센터,서울 종로구 인왕산로1길 21-0,문화시설
78,서울옥션하우스,서울 종로구 평창30길 24-0,문화시설
79,다이소/종로본점,서울 종로구 삼일대로 395-0,쇼핑
80,아르코예술극장,서울 종로구 대학로8길 7-0,공연/행사
81,청운공원,서울 종로구,자연관광지
82,GS더프레시/종로구기점,서울 종로구 진흥로 456-0,쇼핑
83,총회창립100주년기념관,서울 종로구 대학로3길 29-0,문화시설
84,국립어린이박물관,서울 종로구 삼청로 37-0,문화시설
85,승진완구,서울 종로구 종로52길 30-0,쇼핑
86,동묘,서울 종로구 난계로27길 84-0,역사관광지
87,피카디리아트홀,서울 종로구 돈화문로5가길 1-0,쇼핑
88,경인미술관,서울 종로구 인사동10길 11-4,문화시설
89,청계광장,서울 종로구 청계천로 1-0,자연관광지
90,롯데슈퍼/종로평창점,서울 종로구 평창문화로 39-0,쇼핑
91,PKM갤러리,서울 종로구 삼청로7길 40-0,문화시설
92,동대문종합시장/B동,서울 종로구 종로 266-0,쇼핑
93,예스24스테이지,서울 종로구 대학로12길 21-0,공연/행사
94,동대문신발상가A동,서울 종로구 청계천로 291-0,쇼핑
95,운현궁,서울 종로구 삼일대로 464-0,역사관광지
96,갤러리라메르,서울 종로구 인사동5길 26-0,문화시설
97,무궁화동산,서울 종로구,자연관광지
98,청운대안내소,서울 종로구,기타관광지
99,황학동벼룩시장,서울 종로구 종로58길 6-3,쇼핑
100,갤러리현대,서울 종로구 삼청로 14-0,문화시설
